Movie,Score,Poster_URL
Jurassic World,49%,https://posters.movieposterdb.com/15_04/2015/369610/s_369610_dec963e0.jpg
Harry Potter and the Chamber of Secrets,75%,https://posters.movieposterdb.com/23_01/2002/1454622/s_lego-creator-harry-potter-and-the-chamber-of-secrets-movie-poster_f3b41ca8.jpg
No Country for Old Men,92%,https://posters.movieposterdb.com/22_12/1981/1059210/s_no-country-for-old-men-movie-poster_e90bdad4.jpg
Gladiator,87%,https://posters.movieposterdb.com/08_12/2000/172495/s_172495_93f99923.jpg
The Tree of Life,73%,https://posters.movieposterdb.com/23_01/2011/2126285/s_exploring-the-tree-of-life-movie-poster_e8e8f447.jpg
"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",69%,https://posters.movieposterdb.com/22_12/2005/776766/s_the-chronicles-of-narnia-the-lion-the-witch-and-the-wardrobe-movie-poster_a5d6066f.jpg
Guardians of the Galaxy Vol. 2,70%,https://posters.movieposterdb.com/20_08/2017/3896198/s_3896198_b002fe3d.jpg
Spotlight,86%,https://posters.movieposterdb.com/20_01/2016/6222202/s_6222202_f4f64df4.jpg
Gravity,95%,https://posters.movieposterdb.com/22_12/2004/412791/s_gravity-movie-poster_78ed0033.jpg
Blade Runner 2049,63%,https://posters.movieposterdb.com/22_12/2017/1856101/s_blade-runner-2049-movie-poster_08b5bd30.jpg
Call Me by Your Name,92%,https://posters.movieposterdb.com/21_11/2017/5726616/s_5726616_c85f77ed.jpg
Million Dollar Baby,100%,https://posters.movieposterdb.com/22_06/2004/405159/s_405159_926a2c97.jpg
Jumanji: The Next Level,66%,https://posters.movieposterdb.com/20_05/2019/7975244/s_7975244_71035fd9.jpg
A Star Is Born,94%,https://posters.movieposterdb.com/22_10/2021/13476340/s_a-star-is-born-movie-poster_88fe7a5f.jpg
Despicable Me 3,34%,https://posters.movieposterdb.com/20_06/2017/3469046/s_3469046_30126921.jpg
Pirates of the Caribbean: On Stranger Tides,47%,https://posters.movieposterdb.com/11_06/2011/1298650/s_1298650_637b4bae.jpg
Shrek,86%,https://posters.movieposterdb.com/11_12/2001/126029/s_126029_cee44e30.jpg
Beauty and the Beast,74%,https://posters.movieposterdb.com/21_07/2018/9173998/s_9173998_ac06ab34.jpg
Toy Story,97%,https://posters.movieposterdb.com/13_05/1995/114709/s_114709_6645f9fc.jpg
Room,88%,https://posters.movieposterdb.com/06_04/2005/0417096/s_107395_0417096_c7ca699e.jpg
